start,end
2017-10-01 15:23:25,2017-10-01 15:26:26
2017-10-01 15:42:57,2017-10-01 17:49:59
2017-10-02 06:37:10,2017-10-02 06:42:53
2017-10-02 08:56:45,2017-10-02 09:18:03
2017-10-02 18:23:00,2017-10-02 18:45:05
2017-10-02 18:48:08,2017-10-02 19:10:54
2017-10-02 19:18:10,2017-10-02 19:31:45
2017-10-02 19:37:32,2017-10-02 19:46:37
2017-10-03 08:24:16,2017-10-03 08:32:27
2017-10-03 18:17:07,2017-10-03 18:27:46
2017-10-03 19:24:10,2017-10-03 19:52:08
2017-10-03 20:17:06,2017-10-03 20:23:52
2017-10-03 20:45:21,2017-10-03 20:57:10
2017-10-04 07:04:57,2017-10-04 07:13:31
2017-10-04 07:13:42,2017-10-04 07:21:54
2017-10-04 14:22:12,2017-10-04 14:50:00
2017-10-04 15:07:27,2017-10-04 15:44:49
2017-10-04 15:46:41,2017-10-04 16:32:33
2017-10-04 16:34:44,2017-10-04 16:46:59
2017-10-04 17:26:06,2017-10-04 17:31:36
2017-10-04 17:42:03,2017-10-04 17:50:41
2017-10-05 07:49:02,2017-10-05 08:12:55
2017-10-05 08:26:21,2017-10-05 08:29:45
2017-10-05 08:33:27,2017-10-05 08:38:31
2017-10-05 16:35:35,2017-10-05 16:51:52
2017-10-05 17:53:31,2017-10-05 18:16:50
2017-10-06 08:17:17,2017-10-06 08:38:01
2017-10-06 11:39:40,2017-10-06 11:50:38
2017-10-06 12:59:54,2017-10-06 13:13:14
2017-10-06 13:43:05,2017-10-06 14:14:56
2017-10-06 14:28:15,2017-10-06 15:09:26
2017-10-06 15:50:10,2017-10-06 16:12:34
2017-10-06 16:32:16,2017-10-06 16:39:31
2017-10-06 16:44:08,2017-10-06 16:48:39
2017-10-06 16:53:43,2017-10-06 17:09:03
2017-10-07 11:38:55,2017-10-07 11:53:06
2017-10-07 14:03:36,2017-10-07 14:07:05
2017-10-07 14:20:03,2017-10-07 14:27:36
2017-10-07 14:30:50,2017-10-07 14:44:51
2017-10-08 00:28:26,2017-10-08 00:30:48
2017-10-08 11:16:21,2017-10-08 11:33:24
2017-10-08 12:37:03,2017-10-08 13:01:29
2017-10-08 13:30:37,2017-10-08 13:57:53
2017-10-08 14:16:40,2017-10-08 15:07:19
2017-10-08 15:23:50,2017-10-08 15:50:01
2017-10-08 15:54:12,2017-10-08 16:17:42
2017-10-08 16:28:52,2017-10-08 16:35:18
2017-10-08 23:08:14,2017-10-08 23:33:41
2017-10-08 23:34:49,2017-10-08 23:45:11
2017-10-08 23:46:47,2017-10-09 00:10:57
2017-10-09 00:12:58,2017-10-09 00:36:40
2017-10-09 00:37:02,2017-10-09 00:53:33
2017-10-09 01:23:29,2017-10-09 01:48:13
2017-10-09 01:49:25,2017-10-09 02:13:35
2017-10-09 02:14:11,2017-10-09 02:29:40
2017-10-09 13:04:32,2017-10-09 13:13:25
2017-10-09 14:30:10,2017-10-09 14:38:55
2017-10-09 15:06:47,2017-10-09 15:11:30
2017-10-09 16:43:25,2017-10-09 16:45:38
2017-10-10 15:32:58,2017-10-10 15:51:24
2017-10-10 16:47:55,2017-10-10 17:03:47
2017-10-10 17:51:05,2017-10-10 18:00:18
2017-10-10 18:08:12,2017-10-10 18:19:11
2017-10-10 19:09:35,2017-10-10 19:14:32
2017-10-10 19:17:11,2017-10-10 19:23:08
2017-10-10 19:28:11,2017-10-10 19:44:40
2017-10-10 19:55:35,2017-10-10 20:11:54
2017-10-10 22:20:43,2017-10-10 22:33:23
2017-10-11 04:40:52,2017-10-11 04:59:22
2017-10-11 06:28:58,2017-10-11 06:40:13
2017-10-11 16:41:07,2017-10-11 17:01:14
2017-10-12 08:08:30,2017-10-12 08:35:03
2017-10-12 08:47:02,2017-10-12 08:59:50
2017-10-12 13:13:39,2017-10-12 13:37:45
2017-10-12 13:40:12,2017-10-12 13:48:17
2017-10-12 13:49:56,2017-10-12 13:53:16
2017-10-12 14:33:18,2017-10-12 14:39:57
2017-10-13 15:55:39,2017-10-13 15:59:41
2017-10-17 17:58:48,2017-10-17 18:01:38
2017-10-19 20:21:45,2017-10-19 20:29:15
2017-10-19 21:11:39,2017-10-19 21:29:37
2017-10-19 21:30:01,2017-10-19 21:47:23
2017-10-19 21:47:34,2017-10-19 21:57:07
2017-10-19 21:57:24,2017-10-19 22:09:52
2017-10-21 12:24:09,2017-10-21 12:36:24
2017-10-21 12:36:37,2017-10-21 12:42:13
2017-10-21 13:47:43,2017-10-22 11:09:36
2017-10-22 13:28:53,2017-10-22 13:31:44
2017-10-22 13:47:05,2017-10-22 13:56:33
2017-10-22 14:26:41,2017-10-22 14:32:39
2017-10-22 14:54:41,2017-10-22 15:09:58
2017-10-22 16:40:29,2017-10-22 16:51:40
2017-10-22 17:58:46,2017-10-22 18:28:37
2017-10-22 18:45:16,2017-10-22 18:50:34
2017-10-22 18:56:22,2017-10-22 19:11:10
2017-10-23 10:14:08,2017-10-23 10:35:32
2017-10-23 11:29:36,2017-10-23 14:38:34
2017-10-23 15:04:52,2017-10-23 15:32:58
2017-10-23 15:33:48,2017-10-23 17:06:47
2017-10-23 17:13:16,2017-10-23 19:31:26
2017-10-23 19:55:03,2017-10-23 20:25:53
2017-10-23 21:47:54,2017-10-23 22:18:04
2017-10-23 22:34:12,2017-10-23 22:48:42
2017-10-24 06:55:01,2017-10-24 07:02:17
2017-10-24 14:56:07,2017-10-24 15:03:16
2017-10-24 15:51:36,2017-10-24 15:59:50
2017-10-24 16:31:10,2017-10-24 16:55:09
2017-10-28 14:26:14,2017-10-28 14:32:34
2017-11-01 09:41:54,2017-11-01 09:52:23
2017-11-01 20:16:11,2017-11-01 20:32:13
2017-11-02 19:44:29,2017-11-02 19:50:56
2017-11-02 20:14:37,2017-11-02 20:30:29
2017-11-02 21:35:47,2017-11-02 21:38:57
2017-11-03 09:59:27,2017-11-03 10:11:46
2017-11-03 10:13:22,2017-11-03 10:32:02
2017-11-03 10:44:25,2017-11-03 10:50:34
2017-11-03 16:06:43,2017-11-03 16:44:38
2017-11-03 16:45:54,2017-11-03 17:00:27
2017-11-03 17:07:15,2017-11-03 17:35:05
2017-11-03 17:36:05,2017-11-03 17:46:48
2017-11-03 17:50:31,2017-11-03 18:00:03
2017-11-03 19:22:56,2017-11-03 19:45:51
2017-11-04 13:14:10,2017-11-04 13:26:15
2017-11-04 14:18:37,2017-11-04 14:30:05
2017-11-04 14:45:59,2017-11-04 15:03:20
2017-11-04 15:16:03,2017-11-04 15:44:30
2017-11-04 16:37:46,2017-11-04 16:58:22
2017-11-04 17:13:19,2017-11-04 17:34:50
2017-11-04 18:10:34,2017-11-04 18:58:44
2017-11-05 01:56:50,2017-11-05 01:01:04
2017-11-05 08:33:33,2017-11-05 08:53:46
2017-11-05 08:58:08,2017-11-05 09:03:39
2017-11-05 11:05:08,2017-11-05 11:30:05
2017-11-06 08:50:18,2017-11-06 08:59:05
2017-11-06 09:04:03,2017-11-06 09:13:47
2017-11-06 16:19:36,2017-11-06 17:02:55
2017-11-06 17:21:27,2017-11-06 17:34:06
2017-11-06 17:36:01,2017-11-06 17:57:32
2017-11-06 17:59:52,2017-11-06 18:15:08
2017-11-06 18:18:36,2017-11-06 18:21:17
2017-11-06 19:24:31,2017-11-06 19:37:57
2017-11-06 19:49:16,2017-11-06 20:03:14
2017-11-07 07:50:48,2017-11-07 08:01:32
2017-11-08 13:11:51,2017-11-08 13:18:05
2017-11-08 21:34:47,2017-11-08 21:46:05
2017-11-08 22:02:30,2017-11-08 22:04:47
2017-11-09 07:01:11,2017-11-09 07:12:10
2017-11-09 08:02:02,2017-11-09 08:08:28
2017-11-09 08:19:59,2017-11-09 08:32:24
2017-11-09 08:41:31,2017-11-09 08:48:59
2017-11-09 09:00:06,2017-11-09 09:09:24
2017-11-09 09:09:37,2017-11-09 09:24:25
2017-11-09 13:14:37,2017-11-09 13:25:39
2017-11-09 15:20:07,2017-11-09 15:31:10
2017-11-09 18:47:08,2017-11-09 18:53:10
2017-11-09 23:35:02,2017-11-09 23:43:35
2017-11-10 07:51:33,2017-11-10 08:02:28
2017-11-10 08:38:28,2017-11-10 08:42:09
2017-11-11 18:05:25,2017-11-11 18:13:14
2017-11-11 19:39:12,2017-11-11 19:46:22
2017-11-11 21:13:19,2017-11-11 21:16:31
2017-11-12 09:46:19,2017-11-12 09:51:43
2017-11-13 13:33:42,2017-11-13 13:54:15
2017-11-14 08:40:29,2017-11-14 08:55:52
2017-11-15 06:14:05,2017-11-15 06:30:06
2017-11-15 08:14:59,2017-11-15 08:23:44
2017-11-15 10:16:44,2017-11-15 10:33:41
2017-11-15 10:33:58,2017-11-15 10:54:14
2017-11-15 11:02:15,2017-11-15 11:14:42
2017-11-16 09:27:41,2017-11-16 09:38:49
2017-11-16 09:57:41,2017-11-16 10:18:00
2017-11-16 17:25:05,2017-11-16 17:44:47
2017-11-17 13:45:54,2017-11-17 16:36:56
2017-11-17 19:12:49,2017-11-17 19:31:15
2017-11-18 10:49:06,2017-11-18 10:55:45
2017-11-18 11:32:12,2017-11-18 11:44:16
2017-11-18 18:09:01,2017-11-18 18:14:31
2017-11-18 18:53:10,2017-11-18 19:01:29
2017-11-19 14:15:41,2017-11-19 14:31:49
2017-11-20 21:19:19,2017-11-20 21:41:09
2017-11-20 22:39:48,2017-11-20 23:23:37
2017-11-21 17:44:25,2017-11-21 17:51:32
2017-11-21 18:20:52,2017-11-21 18:34:51
2017-11-21 18:47:32,2017-11-21 18:51:50
2017-11-21 19:07:57,2017-11-21 19:14:33
2017-11-21 20:04:56,2017-11-21 20:08:54
2017-11-21 21:55:47,2017-11-21 22:08:12
2017-11-23 23:47:43,2017-11-23 23:57:56
2017-11-24 06:41:25,2017-11-24 06:53:15
2017-11-24 06:58:56,2017-11-24 07:33:24
2017-11-26 12:25:49,2017-11-26 12:41:36
2017-11-27 05:29:04,2017-11-27 05:54:13
2017-11-27 06:06:47,2017-11-27 06:11:01
2017-11-27 06:45:14,2017-11-27 06:55:39
2017-11-27 09:39:44,2017-11-27 09:47:43
2017-11-27 11:09:18,2017-11-27 11:20:46
2017-11-27 11:31:46,2017-11-27 11:35:44
2017-11-27 12:07:14,2017-11-27 12:12:36
2017-11-27 12:21:40,2017-11-27 12:26:44
2017-11-27 17:26:31,2017-11-27 17:36:07
2017-11-27 18:11:49,2017-11-27 18:29:04
2017-11-27 19:36:16,2017-11-27 19:47:17
2017-11-27 20:12:57,2017-11-27 20:17:33
2017-11-28 08:18:06,2017-11-28 08:41:53
2017-11-28 19:17:23,2017-11-28 19:34:01
2017-11-28 19:34:15,2017-11-28 19:46:24
2017-11-28 21:27:29,2017-11-28 21:39:32
2017-11-29 07:47:38,2017-11-29 07:51:18
2017-11-29 09:50:12,2017-11-29 09:53:44
2017-11-29 17:03:42,2017-11-29 17:16:21
2017-11-29 18:19:15,2017-11-29 18:23:43
2017-12-01 17:03:58,2017-12-01 17:10:12
2017-12-02 07:55:56,2017-12-02 08:01:01
2017-12-02 09:16:14,2017-12-02 09:21:18
2017-12-02 19:48:29,2017-12-02 19:53:18
2017-12-03 14:36:29,2017-12-03 15:20:09
2017-12-03 16:04:02,2017-12-03 16:25:30
2017-12-03 16:40:26,2017-12-03 16:43:58
2017-12-03 17:20:17,2017-12-03 18:04:33
2017-12-04 08:34:24,2017-12-04 08:51:00
2017-12-04 17:49:26,2017-12-04 17:53:57
2017-12-04 18:38:52,2017-12-04 18:50:33
2017-12-04 21:39:20,2017-12-04 21:46:58
2017-12-04 21:54:21,2017-12-04 21:56:17
2017-12-05 08:50:50,2017-12-05 08:52:54
2017-12-06 08:19:38,2017-12-06 08:24:14
2017-12-06 18:19:19,2017-12-06 18:28:11
2017-12-06 18:28:55,2017-12-06 18:33:12
2017-12-06 20:03:29,2017-12-06 20:21:38
2017-12-06 20:36:42,2017-12-06 20:39:57
2017-12-07 05:54:51,2017-12-07 06:01:15
2017-12-08 16:47:18,2017-12-08 16:55:49
2017-12-08 19:15:02,2017-12-08 19:29:12
2017-12-09 22:39:37,2017-12-09 22:47:19
2017-12-09 23:00:10,2017-12-09 23:05:32
2017-12-10 00:39:24,2017-12-10 00:56:02
2017-12-10 01:02:42,2017-12-10 01:08:09
2017-12-10 01:08:57,2017-12-10 01:11:30
2017-12-10 13:49:09,2017-12-10 13:51:41
2017-12-10 15:14:29,2017-12-10 15:18:19
2017-12-10 15:31:07,2017-12-10 15:36:28
2017-12-10 16:20:06,2017-12-10 16:30:31
2017-12-10 17:07:54,2017-12-10 17:14:25
2017-12-10 17:23:47,2017-12-10 17:45:25
2017-12-11 06:17:06,2017-12-11 06:34:04
2017-12-11 09:08:41,2017-12-11 09:12:21
2017-12-11 09:15:41,2017-12-11 09:20:18
2017-12-12 08:55:53,2017-12-12 08:59:34
2017-12-13 17:14:56,2017-12-13 17:18:32
2017-12-13 18:52:16,2017-12-13 19:00:45
2017-12-14 09:01:10,2017-12-14 09:11:06
2017-12-14 09:12:59,2017-12-14 09:19:06
2017-12-14 11:54:33,2017-12-14 12:02:00
2017-12-14 14:40:23,2017-12-14 14:44:40
2017-12-14 15:08:55,2017-12-14 15:26:24
2017-12-14 17:46:17,2017-12-14 18:09:04
2017-12-15 09:08:12,2017-12-15 09:23:45
2017-12-16 09:33:46,2017-12-16 09:36:17
2017-12-16 11:02:31,2017-12-16 11:05:04
2017-12-17 10:09:47,2017-12-17 10:32:03
2017-12-18 08:02:36,2017-12-18 08:07:34
2017-12-18 16:03:00,2017-12-18 16:09:20
2017-12-18 16:30:07,2017-12-18 16:53:12
2017-12-18 19:18:23,2017-12-18 19:22:08
2017-12-18 20:14:46,2017-12-18 20:17:47
2017-12-19 19:14:08,2017-12-19 19:23:49
2017-12-19 19:39:36,2017-12-19 19:43:46
2017-12-20 08:05:14,2017-12-20 08:10:46
2017-12-20 08:15:45,2017-12-20 08:29:50
2017-12-20 08:33:32,2017-12-20 08:38:09
2017-12-20 13:43:36,2017-12-20 13:54:39
2017-12-20 18:57:53,2017-12-20 19:06:54
2017-12-21 07:21:11,2017-12-21 07:32:03
2017-12-21 08:01:58,2017-12-21 08:06:15
2017-12-21 13:20:54,2017-12-21 13:33:49
2017-12-21 15:26:08,2017-12-21 15:34:27
2017-12-21 18:09:46,2017-12-21 18:38:50
2017-12-22 16:14:21,2017-12-22 16:21:46
2017-12-22 16:29:17,2017-12-22 16:34:14
2017-12-25 12:49:51,2017-12-25 13:18:27
2017-12-25 13:46:44,2017-12-25 14:20:50
2017-12-26 10:40:16,2017-12-26 10:53:45
2017-12-27 16:56:12,2017-12-27 17:17:39
2017-12-29 06:02:34,2017-12-29 06:12:30
2017-12-29 12:21:03,2017-12-29 12:46:16
2017-12-29 14:32:55,2017-12-29 14:43:46
2017-12-29 15:08:26,2017-12-29 15:18:51
2017-12-29 20:33:34,2017-12-29 20:38:13
2017-12-30 13:51:03,2017-12-30 13:54:33
2017-12-30 15:09:03,2017-12-30 15:19:13
